region,type,e,n,var,p50,p250,p500,p750,p950
3,5,23,50024,3,0.1395883336217496,0.1444707880263021,0.1444707880263021,0.1444707880263021,0.1813705537409147
3,5,23,50024,4,23264,23264,23264,23264,56150
3,5,23,50024,5,11.099050446213717,11.476722822802108,11.476722822802108,11.476722822802108,11.777746086250437
3,5,23,50024,6,77.9833541441392,77.9833541441392,77.9833541441392,77.9833541441392,83.42088224500638
3,5,23,50024,8,0.1969030872001977,0.1969030872001977,0.1969030872001977,0.1969030872001977,0.3167292777715765
3,5,23,50024,9,0.0851566151455504,0.0851566151455504,0.0851566151455504,0.0851566151455504,0.2287728076083035
3,5,23,50024,7,0.0233441889434761,0.0233441889434761,0.0233441889434761,0.0233441889434761,0.25480247397079703
5,0,4612,144677056,2,1.7000000000000002,9.5,20.700000000000003,35.300000000000004,59.900000000000006
5,0,4612,144677056,1,0.4736613196965972,0.4736613196965972,0.4945499744593358,0.4945499744593358,0.5151495831291198
5,0,4612,144677056,3,0.3131312857757748,0.3131312857757748,0.4031045551518581,0.4031045551518581,0.4473742455999937
5,0,4612,144677056,4,1552,4804,7001,8019,8019
5,0,4612,144677056,5,2.3945506714943834,5.497000217437744,6.526999950408936,10.860358026047882,10.860358026047882
5,0,4612,144677056,6,63.06070491275024,67.56868743896484,67.56868743896484,75.26679177538931,75.26679177538931
5,0,4612,144677056,8,0.0400506190602984,0.0400506190602984,0.1417973366542662,0.1468298609530208,0.4631872721719519
5,0,4612,144677056,9,0.021828398680102,0.021828398680102,0.125955158442359,0.125955158442359,0.8150914533677958
5,0,4612,144677056,7,0.0303799872004775,0.1412369984299311,0.4794107476533791,0.8750244257782651,0.8750244257782651
5,2,997,6090703,2,2.5,12.4,25.8,43.6,66.3
5,2,997,6090703,1,0.4919938912783211,0.4966269393757402,0.4994555128267387,0.4994555128267387,0.533852241992474
5,2,997,6090703,3,0.2164994341243977,0.2381072050304173,0.2381072050304173,0.3414198032446935,0.4374500927166243
5,2,997,6090703,4,1860,3939,14122,24525,24525
5,2,997,6090703,5,2.757063922361355,4.310178470474602,8.391136169433596,8.391136169433596,8.42464828491211
5,2,997,6090703,6,65.04925277169086,71.23207253431977,75.78440093994142,75.78440093994142,77.80380249023436
5,2,997,6090703,8,0.064648187566449,0.3044358132672817,0.3044358132672817,0.4137883256903207,0.6585512802316792
5,2,997,6090703,9,0.0706422317932256,0.0896231530526192,0.1953198440720797,0.1953198440720797,0.6007258498931374
5,2,997,6090703,7,0.0321882318472189,0.0562804129906867,0.0562804129906867,0.2368469146200535,0.7369430752560168
5,3,525,1190382,2,1.6,8.8,19.5,35.7,61.5
5,3,525,1190382,1,0.4736613196965982,0.4966263334047729,0.5083820474241801,0.533852241992474,0.5338522419924748
5,3,525,1190382,3,0.3131312857757763,0.3414183224462243,0.4201943932143964,0.4374500927166243,0.4575938084766141
5,3,525,1190382,4,914,2079,2327,4450,14733
5,3,525,1190382,5,2.3945506714943834,2.757063922361355,3.080662627195664,4.310178382195777,8.346661971846114
5,3,525,1190382,6,62.51445531199604,66.67642211914061,67.97082961068732,70.43925618519981,71.60944798518705
5,3,525,1190382,8,0.0697690589954122,0.2138793301035099,0.2706790327696677,0.3413576847116767,0.6003559810651934
5,3,525,1190382,9,0.0573510167902549,0.123715439759512,0.5251886920903418,0.5388346462981778,0.8195155766457661
5,3,525,1190382,7,0.0258725573522287,0.0659298135603877,0.0807349743102284,0.1380608923562813,0.4159338744582357
5,8,41,4328,2,3.1,14.8,31.1,49,69.60000000000001
5,8,41,4328,1,0.4894388640329997,0.4981578532937569,0.4982821180289032,0.5004053043495214,0.5196384747238418
5,8,41,4328,3,0.1735040713424841,0.238107204348244,0.2381072062496596,0.2381072062496596,0.4473742455999941
5,8,41,4328,4,2132,16992,17809,20274,38610
5,8,41,4328,5,2.549003122721611,8.346669197082518,8.528138160705566,8.725125762598184,12.769191927618872
5,8,41,4328,6,63.4609929380912,72.47786669095444,76.06240081787111,77.53141021728516,79.36579895019531
5,8,41,4328,8,0.0244432271771341,0.1466251324066646,0.1514811099940685,0.2223872283056448,0.3676487480055579
5,8,41,4328,9,0.013349830334955501,0.0133498303349576,0.0712684810953901,0.1768474206697811,0.5521997892109505
5,8,41,4328,7,0.0120193862130427,0.074814424495535,0.0865375606720726,0.1204691115451225,0.5345085956224089
5,6,69,160752,2,2.8000000000000003,13,26.5,44.1,66.7
5,6,69,160752,1,0.4911772040840675,0.4966047126997265,0.4966047126997265,0.5035503663453786,0.5039360009867427
5,6,69,160752,3,0.2203507663763484,0.2381072044689714,0.2745950970407836,0.3420473030319169,0.3420473030319169
5,6,69,160752,4,4409,4409,14367,37810,42329
5,6,69,160752,5,5.144848711414578,5.144848711414578,7.77555086485162,9.128946897269245,13.113310403918332
5,6,69,160752,6,72.03387266549792,72.1110719720434,75.97437713888903,76.55620033326244,81.77602068800073
5,6,69,160752,8,0.2697456859657414,0.334799219814731,0.3926976000975759,0.595822991458424,0.595822991458424
5,6,69,160752,9,0.0529751255392086,0.0829075300414383,0.0829075300414383,0.1400785855700047,0.1822762886598645
5,6,69,160752,7,0,0.0648191716112464,0.1327864759879095,0.2231501113312344,0.4990739975211841
5,4,170,170528,2,2.2,11,23.700000000000003,37.5,60.6
5,4,170,170528,1,0.3025928303812376,0.453440079625334,0.4894388640329997,0.4966269745758618,0.5132473229771017
5,4,170,170528,3,0.1836825812041261,0.2722224680576031,0.3504113521605621,0.3513076859621304,0.4167075754803289
5,4,170,170528,4,944,1448,1971,17725,36612
5,4,170,170528,5,2.400692754456501,3.6670000553131095,3.6670000553131104,7.463985443115234,11.654040336608888
5,4,170,170528,6,62.73483735083461,66.676422119140625,67.53510284423828,71.91120147705078,77.9658966064453
5,4,170,170528,8,0.0185635959908872,0.0187345098104173,0.07021098715463,0.4126993101704064,0.5701479137666303
5,4,170,170528,9,0.08532811107721,0.1061217063127702,0.6100827687899427,0.7406084147468727,0.8643635490777092
5,4,170,170528,7,0.0047842254003051,0.0385706854775801,0.0526967224508629,0.3300287926100617,0.3790518012698111
5,1,3615,138586353,2,1.7000000000000002,9.4,20.5,34.9,59.5
5,1,3615,138586353,1,0.4736613196965972,0.4736613196965972,0.4945499744593358,0.4945499744593358,0.5151495831291198
